"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Justin Watson","HOU","11.1","155.2","1.0","0.0","0.0","0.0","0.1","21.2"
"Sterling Shepard","TB","13.1","132.3","1.1","0.0","1.7","0.0","0.0","20.2"
"Cordarrelle Patterson","PIT","6.0","45.0","0.0","0.0","130.0","1.0","2.0","19.5"
"Xavier Restrepo","TEN","12.0","131.0","1.0","0.0","3.0","0.0","0.0","19.4"
"Arian Smith","NYJ","11.8","139.1","0.7","0.0","7.5","0.0","0.0","18.9"
"Michael Gallup","WAS","11.4","128.9","1.0","0.0","0.0","0.0","0.0","18.8"
"KhaDarel Hodge","ATL","10.2","132.5","0.8","0.0","0.0","0.0","0.1","17.8"
"Quez Watkins","ARI","10.7","127.7","0.8","0.0","0.0","0.0","0.0","17.4"
"Simi Fehoko","ARI","10.0","120.9","0.9","0.0","0.0","0.0","0.0","17.3"
"John Metchie III","HOU","10.1","110.5","0.9","0.0","0.7","0.0","0.0","16.3"
"David Moore","CAR","9.3","118.1","0.7","0.0","0.0","0.0","0.0","16.1"
"Jha'Quan Jackson","TEN","10.6","126.4","0.7","0.0","2.5","0.0","1.0","15.1"
"Tylan Wallace","BAL","7.1","95.5","0.9","0.0","1.7","0.0","0.0","15.1"
"Derius Davis","LAC","7.5","86.9","0.6","4.2","27.9","0.1","0.6","14.4"
"Charlie Jones","CIN","8.6","102.3","0.7","0.0","0.0","0.0","0.1","14.4"
"Parris Campbell","DAL","11.0","104.7","0.6","0.0","0.0","0.0","0.0","14.3"
"Scotty Miller","PIT","9.6","117.8","0.4","0.0","0.0","0.0","0.1","14.3"
"Erik Ezukanma","MIA","8.7","105.5","0.6","0.0","0.0","0.0","0.1","14.1"
"Devontez Walker","BAL","6.5","90.6","0.8","0.0","1.7","0.0","0.0","13.9"
"Johnny Wilson","PHI","7.2","89.3","0.7","0.0","0.0","0.0","0.0","13.2"
"DeAndre Carter","CLE","9.1","109.9","0.5","0.0","0.0","0.0","0.5","12.7"
"Malik Heath","GB","7.3","81.7","0.6","0.0","0.0","0.0","0.0","11.7"
"Ainias Smith","PHI","6.5","72.2","0.5","1.3","7.7","0.1","0.1","11.2"
"Dareke Young","SEA","6.9","80.5","0.5","0.0","0.0","0.0","0.0","11.1"
"Mecole Hardman Jr.","GB","7.0","76.0","0.8","0.0","5.5","0.0","1.0","11.1"
"Michael Woods II","CLE","6.8","81.7","0.5","0.0","0.0","0.0","0.0","10.9"
"Ashton Dulin","IND","6.2","80.6","0.4","0.0","3.3","0.0","0.0","10.7"
"Jamal Agnew","ATL","6.6","69.2","0.6","0.0","0.0","0.0","0.0","10.7"
"Cody White","SEA","6.4","79.7","0.4","0.0","0.0","0.0","0.1","10.5"
"Tank Dell","HOU","5.5","69.5","0.5","0.0","1.0","0.0","0.0","10.1"
"Nick Nash","ATL","6.6","74.5","0.4","0.0","0.0","0.0","0.0","10.0"
"Zach Pascal","NYG","6.0","73.4","0.4","0.0","0.0","0.0","0.1","9.5"
"Maurice Alexander","CHI","6.3","68.3","0.4","0.0","0.0","0.0","0.0","9.4"
"Samori Toure","CHI","6.2","67.8","0.4","0.0","0.0","0.0","0.0","9.3"
"Lil'Jordan Humphrey","NYG","6.0","63.0","0.5","0.0","0.0","0.0","0.0","9.3"
"Xavier Weaver","ARI","5.2","61.5","0.5","0.0","0.0","0.0","0.0","9.0"
"Tommy Mellott","LV","3.5","40.6","0.2","4.1","24.8","0.2","0.0","8.6"
"Jonathan Mingo","DAL","5.5","67.2","0.3","0.0","0.0","0.0","0.1","8.3"
"Ben Skowronek","PIT","5.8","62.9","0.3","0.0","0.0","0.0","0.0","8.2"
"Bo Melton","GB","3.8","46.1","0.4","1.1","6.9","0.0","0.0","7.6"
"Kendric Pryor","CIN","3.9","42.0","0.3","0.0","0.0","0.0","0.0","6.2"
"Isaiah Williams","CIN","3.9","41.6","0.3","0.0","0.0","0.0","0.0","6.2"
"Jamari Thrash","CLE","4.3","50.7","0.2","0.0","0.0","0.0","0.1","6.2"
"Trishton Jackson","ARI","3.5","40.7","0.3","0.0","0.0","0.0","0.0","6.1"
"Devin Duvernay","CHI","5.0","47.4","0.3","0.0","3.7","0.0","0.5","5.7"
"Javon Baker","NE","2.7","36.7","0.3","0.0","0.0","0.0","0.0","5.7"
"Jalen Brooks","DAL","3.3","41.1","0.3","0.0","0.0","0.0","0.0","5.7"
"Dante Pettis","NO","3.5","41.3","0.2","1.1","4.5","0.0","0.1","5.6"
"Dee Eskridge","MIA","3.6","39.3","0.3","0.0","0.0","0.0","0.0","5.5"
"KeAndre Lambert-Smith","LAC","3.2","36.8","0.1","2.1","6.4","0.1","0.0","5.4"
"Chris Blair","ATL","3.1","35.6","0.3","0.0","0.0","0.0","0.0","5.2"
"Xavier Smith","LAR","3.2","39.1","0.2","1.1","10.4","0.0","0.5","5.0"
"Laviska Shenault Jr.","BUF","3.3","36.5","0.2","0.0","0.0","0.0","0.0","5.0"
"Kelvin Harmon","DAL","3.5","39.5","0.2","0.0","0.0","0.0","0.0","5.0"
"Joshua Cephus","JAC","3.4","38.1","0.2","0.0","0.0","0.0","0.0","4.9"
"Jimmy Horn Jr.","CAR","3.3","36.8","0.2","0.0","0.0","0.0","0.0","4.8"
"Austin Trammell","JAC","3.2","38.7","0.2","0.0","0.0","0.0","0.1","4.7"
"Miles Boykin","CHI","3.2","35.9","0.2","0.0","0.0","0.0","0.0","4.6"
"Brycen Tremayne","CAR","3.0","34.0","0.2","0.0","0.0","0.0","0.0","4.4"
"Tyler Scott","CHI","3.1","32.5","0.1","0.0","1.7","0.0","0.0","4.2"
"Trey Palmer","TB","2.5","30.1","0.2","0.0","0.0","0.0","0.0","4.0"
"Xavier Gipson","NYJ","3.7","42.0","0.1","0.0","1.7","0.0","0.5","3.9"
